id,title,vote_average,vote_count
822119,Captain America: Brave New World,6.193,811
1084199,Companion,7.1,580
539972,Kraven the Hunter,6.7,1325
1160956,Panda Plan,7.069,145
1201012,Dhoom Dhaam,6.375,20
1249289,Alarum,5.8,214
1247019,Death Whisperer 2,7.0,77
516729,Paddington in Peru,6.837,175
762509,Mufasa: The Lion King,7.463,1470
939243,Sonic the Hedgehog 3,7.7,2025
912649,Venom: The Last Dance,6.8,2927
1294203,My Fault: London,7.487,265
558449,Gladiator II,6.8,2930
549509,The Brutalist,7.089,634
950396,The Gorge,7.792,1501
1126166,Flight Risk,6.0,316
1241982,Moana 2,7.149,1742
927342,Amaran,7.4,171
774370,Dog Man,7.7,121
426889,Le Clitoris,7.1,35
